Company,Name,Title,Office City,Office State/Prov,Office Country
Amplify Energy,Martyn W. Smiley,CEO,Houston,TX,US
Antero Resources,Michael N. Kennedy,CEO,Denver,CO,US
Arc Resources,Terry Anderson,CEO,Calgary,AB,CA
Baker Hughes,Lorenzo Simonelli,CEO,Houston,TX,US
Baytex Energy,Eric Greager,CEO,Calgary,AB,CA
Berry Corporation,Arthur T. Smith,CEO,Dallas,TX,US
Birchcliff Energy,Jeffery Tonken,CEO,Calgary,AB,CA
CNX Resources,Nicholas J. DeIuliis,CEO,Canonsburg,PA,US
CVR Energy,David L. Lamp,CEO,Sugar Land,TX,US
Cenovus Energy,Jon McKenzie,CEO,Calgary,AB,CA
ChampionX,Sivasankaran Soma Somasundaram,CEO,The Woodlands,TX,US
Chesapeake Energy,Nick Dell'Osso,CEO,Oklahoma City,OK,US
Chevron,Michael K. Wirth,CEO,Houston,TX,US
Chevron,Eimear P. Bonner,CFO,Houston,TX,US
Chord Energy,Danny R. Brown,CEO,Houston,TX,US
Civitas Resources,Chris Doyle,CEO,Denver,CO,US
Comstock Resources,M. Jay Allison,CEO,Frisco,TX,US
ConocoPhillips,Ryan M. Lance,CEO,Houston,TX,US
ConocoPhillips,Andrew M. O'Brien,CFO,Houston,TX,US
Coterra Energy,Thomas E. Jorden,CEO,Houston,TX,US
Delek US Holdings,Avi Elyakim,CEO,Brentwood,TN,US
Devon Energy,Richard E. Muncrief,CEO,Oklahoma City,OK,US
Diamondback Energy,Travis D. Stice,CEO,Midland,TX,US
EOG Resources,Ezra Y. Yacob,CEO,Houston,TX,US
EQT Corporation,Toby Z. Rice,CEO,Pittsburgh,PA,US
Enbridge,Greg Ebel,CEO,Calgary,AB,CA
Energy Transfer,Marshall S. McCrea III,Co-CEO,Dallas,TX,US
Energy Transfer,Dylan A. Bramhall,Group CFO,Dallas,TX,US
Enterprise Products Partners,Richard Daniel Boss,CFO,Houston,TX,US
Enterprise Products Partners,A. James Teague,Co-CEO,Houston,TX,US
Enterprise Products Partners,W. Randall Fowler,Co-CEO,Houston,TX,US
ExxonMobil,Darren Woods,CEO,Spring,TX,US
ExxonMobil,Kathryn Mikells,CFO,Spring,TX,US
Gibson Energy,Steve Spaulding,CEO,Calgary,AB,CA
Granite Ridge Resources,Tyler Farquharson,CEO,Dallas,TX,US
Gulfport Energy,John K. Reinhart,CEO,Oklahoma City,OK,US
Halliburton,Jeff Miller,CEO,Houston,TX,US
Imperial Oil,John Whelan,"Chairman, President & CEO",Calgary,AB,CA
Keyera Corp,Dean Setoguchi,CEO,Calgary,AB,CA
Kimbell Royalty Partners,Robert Ravnaas,CEO,Fort Worth,TX,US
Kinder Morgan,Kimberly Allen Dang,CEO,Houston,TX,US
Kinder Morgan,David Patrick Michels,CFO,Houston,TX,US
Kosmos Energy,Andrew G. Inglis,CEO,Dallas,TX,US
Liberty Energy,Chris Wright,CEO,Denver,CO,US
MEG Energy,Darlene Gates,CEO,Calgary,AB,CA
MPLX,Maryann T. Mannen,CEO,Findlay,OH,US
MPLX,Carl Kristopher Hagedorn,CFO,Findlay,OH,US
Marathon Petroleum,Michael J. Hennigan,CEO,Findlay,OH,US
Matador Resources,Joseph Wm. Foran,CEO,Dallas,TX,US
NOV Inc.,Clay C. Williams,CEO,Houston,TX,US
Northern Oil and Gas,Nicholas O'Grady,CEO,Wayzata,MN,US
NuStar Energy,Brad Barron,CEO,San Antonio,TX,US
NuVista Energy,Mike H. Lawford,CEO,Calgary,AB,CA
ONEOK,Pierce H. Norton II,CEO,Tulsa,OK,US
ONEOK,Walter S. Hulse III,CFO,Tulsa,OK,US
PBF Energy,Thomas Nimbley,CEO,Parsippany,NJ,US
Par Pacific Holdings,William Pate,CEO,Houston,TX,US
